monthly_income_amt,education_level_cd,gender_cd,age,marital_status_cd,job_position_cd,car_own_flg,work_exp_cd,accnt_cnt,credit_amt_max,credit_card_sum,accnt_open_due_cnt,wrst_delqbalance_max,cred_av
30.0,UGR,F,21,UNM,WRK,0,0,1.0,62.43,0.0,0.0,0.0,62.43
48.0,SCH,M,36,UNM,BIS,0,0,9.0,128.0,22.08,0.0,0.0,33.098
30.0,GRD,M,37,MAR,SPC,0,1,28.0,333.0,153.0,0.0,8.86,75.387
11.0,SCH,F,66,CIV,PNA,0,0,2.0,52.9,0.0,0.0,0.0,51.45
30.0,GRD,F,46,UNM,UMN,0,2,7.0,166.5,210.5,0.0,0.0,54.583
25.0,UGR,F,31,MAR,SPC,0,1,18.0,21.01,0.0,0.0,21.012,12.738
16.0,SCH,F,46,MAR,SPC,0,2,21.0,139.36,52.5,0.0,2.781,45.656
40.0,UGR,M,51,MAR,SPC,0,0,1.0,10.45,0.0,0.0,2.704,10.45
58.0,SCH,M,29,MAR,SPC,0,1,17.0,249.0,20.0,0.0,8.408,68.83
50.0,SCH,M,33,MAR,BIS,1,0,1.0,7.0,0.0,0.0,0.0,7.0
40.0,SCH,F,46,DIV,BIS,0,1,3.0,17.74,15.0,0.0,1.314,14.767
15.0,SCH,F,34,MAR,UMN,0,1,8.0,132.03,0.0,0.0,5.263,40.354
60.0,GRD,M,55,MAR,UMN,0,1,13.0,548.0,199.06,0.0,6.298,126.488
46.0,SCH,M,31,UNM,WRK,1,0,13.0,500.0,0.0,1.0,7.208,88.844
25.0,UGR,F,42,MAR,SPC,0,0,5.0,82.29,0.0,0.0,0.011,31.155
100.0,SCH,M,28,MAR,BIS,1,0,11.0,957.55,0.0,1.0,29.568,148.626
35.0,SCH,M,22,UNM,WRK,0,0,11.0,218.5,50.0,0.0,0.0,42.991
15.0,GRD,F,43,DIV,WRK,0,1,4.0,76.0,28.6,0.0,9.613,30.35
17.0,SCH,F,31,MAR,ATP,0,0,1.0,10.0,10.0,0.0,0.5,10.0
9.5,UGR,M,42,UNM,SPC,0,0,2.0,19.41,0.0,0.0,0.0,19.41
40.0,SCH,M,58,MAR,WRK,0,0,4.0,1000.0,0.0,0.0,25.03,468.434
30.0,SCH,F,38,UNM,SPC,0,0,3.0,48.98,56.67,0.0,2.757,28.343
25.0,UGR,F,26,UNM,ATP,0,1,4.0,50.0,50.0,1.0,3.982,31.79
43.5,SCH,M,41,MAR,SPC,0,2,10.0,300.0,40.0,0.0,2.241,150.515
35.0,SCH,M,25,UNM,WRK,0,0,4.0,65.12,80.12,0.0,8.668,24.575
10.0,SCH,M,24,UNM,NOR,0,0,6.0,5.0,0.0,0.0,0.0,4.167
46.0,SCH,M,41,MAR,WOI,1,0,3.0,158.91,0.0,0.0,17.581,154.455
23.0,GRD,F,47,WID,SPC,0,2,14.0,160.88,17.0,1.0,2.051,40.057
30.0,SCH,M,43,MAR,SPC,0,1,9.0,134.0,50.0,0.0,3.538,44.349
30.0,GRD,F,39,MAR,SPC,0,0,2.0,100.0,100.0,0.0,0.0,73.39
154.0,GRD,F,33,MAR,SPC,1,0,7.0,2500.0,555.0,0.0,0.005,795.463
32.5,UGR,F,20,UNM,UMN,0,0,5.0,34.5,52.88,0.0,0.056,27.19
25.0,GRD,F,32,DIV,SPC,0,1,9.0,100.0,0.0,0.0,3.203,31.024
27.0,SCH,M,24,UNM,BIS,0,0,2.0,9.35,0.0,0.0,8.315,9.35
30.0,GRD,F,36,UNM,BIU,0,0,3.0,97.53,15.0,0.0,2.946,48.167
30.0,SCH,M,24,UNM,WRK,0,0,7.0,5.0,0.0,0.0,0.0,5.0
40.0,UGR,F,42,DIV,SPC,0,2,10.0,35.0,20.0,0.0,2.044,17.831
15.0,UGR,F,23,MAR,NOR,0,0,1.0,16.91,0.0,0.0,11.178,16.91
25.0,GRD,F,41,MAR,SPC,0,1,7.0,1067.6,0.0,0.0,0.0,233.048
32.0,UGR,F,52,MAR,SPC,0,0,7.0,1000.0,0.0,0.0,1161.963,501.43
45.0,UGR,M,36,MAR,SPC,0,2,13.0,900.0,117.0,0.0,0.077,95.396
13.0,SCH,M,55,DIV,WRK,0,0,1.0,13.19,0.0,0.0,0.0,13.19
42.0,GRD,M,28,MAR,SPC,0,1,5.0,901.79,0.0,0.0,9.297,254.153
30.0,SCH,F,52,MAR,PNA,0,0,1.0,70.0,0.0,0.0,61.93,70.0
50.0,GRD,M,46,MAR,WOI,1,0,11.0,380.87,0.0,0.0,12.062,75.349
25.0,UGR,M,31,MAR,SPC,0,0,6.0,265.0,42.0,0.0,0.0,87.635
25.0,GRD,F,27,UNM,SPC,0,1,2.0,880.0,0.0,0.0,0.0,445.165
25.0,SCH,F,42,MAR,ATP,0,1,12.0,89.7,101.0,0.0,2.921,28.138
8.4,SCH,F,64,UNM,PNA,0,0,6.0,80.1,0.0,0.0,5.128,30.99
200.0,GRD,M,29,MAR,DIR,0,1,6.0,120.0,0.0,0.0,13.527,53.734
35.0,SCH,M,54,UNM,SPC,0,0,1.0,3.55,0.0,0.0,0.0,3.55
25.0,UGR,F,20,UNM,SPC,0,0,2.0,52.99,0.0,0.0,0.0,36.38
33.0,SCH,M,22,CIV,WRK,0,0,3.0,34.9,34.9,0.0,2.169,25.603
25.0,GRD,M,24,UNM,SPC,0,0,8.0,25.0,0.0,1.0,24.966,7.829
25.0,SCH,M,21,UNM,WRK,0,1,1.0,44.5,0.0,0.0,0.0,44.5
35.0,GRD,F,27,MAR,SPC,0,1,1.0,42.4,0.0,0.0,4.0,42.4
30.0,SCH,M,28,UNM,WRK,0,0,6.0,29.8,0.0,0.0,39.234,15.65
45.0,SCH,M,40,MAR,WRK,0,0,2.0,0.0,0.0,0.0,0.0,15.0
65.0,SCH,M,37,MAR,SPC,0,2,19.0,575.05,0.0,0.0,10.103,102.169
15.0,SCH,F,62,WID,PNA,0,0,5.0,84.55,0.0,0.0,5.084,38.52
14.25,SCH,M,46,MAR,WRK,1,0,9.0,961.0,0.0,0.0,0.083,273.001
9.5,UGR,F,52,MAR,SPC,0,1,5.0,43.07,21.36,0.0,4.41,23.415
50.0,GRD,M,30,UNM,UMN,1,0,1.0,120.0,120.0,0.0,0.0,120.0
100.0,GRD,M,41,MAR,BIS,1,0,7.0,1500.0,318.6,0.0,2.076,348.102
20.0,SCH,M,53,CIV,UMN,0,2,14.0,115.86,11.0,0.0,3.515,36.429
60.0,GRD,M,28,MAR,SPC,0,0,20.0,1105.0,10.0,0.0,3.183,85.515
30.0,SCH,M,42,CIV,SPC,0,2,4.0,45.0,0.45,0.0,2.638,17.497
21.0,SCH,M,26,UNM,SPC,0,1,2.0,300.0,0.0,0.0,300.0,162.499
24.0,UGR,F,35,MAR,SPC,0,1,2.0,9.37,0.0,0.0,0.0,6.26
60.0,UGR,M,40,MAR,SPC,0,2,10.0,150.0,0.0,0.0,37.042,44.401
21.0,SCH,M,45,UNM,SPC,0,2,4.0,15.0,0.0,1.0,5.906,7.667
31.0,UGR,F,28,MAR,SPC,0,0,10.0,221.71,55.0,0.0,2.3,49.542
50.0,GRD,F,28,CIV,SPC,0,1,11.0,58.0,43.0,0.0,0.002,35.03
15.0,SCH,F,42,MAR,SPC,0,1,4.0,69.74,0.0,0.0,88.401,20.35
110.0,GRD,M,58,MAR,SPC,1,2,19.0,885.09,204.0,0.0,18.919,241.429
50.0,SCH,M,45,DIV,WRK,0,2,1.0,0.0,0.0,0.0,10.851,15.0
21.0,GRD,F,68,UNM,SPC,0,0,3.0,7.82,0.0,0.0,0.008,7.613
20.0,GRD,F,23,UNM,ATP,1,0,2.0,16.23,0.0,0.0,0.485,16.23
35.0,SCH,M,38,MAR,WRK,0,1,7.0,375.0,15.0,0.0,6.022,79.14
30.0,GRD,M,33,MAR,BIS,0,0,1.0,21.77,0.0,0.0,1.619,21.77
100.0,SCH,M,32,UNM,SPC,0,2,16.0,482.35,0.0,0.0,42.613,116.248
25.0,GRD,M,35,UNM,WRK,0,1,3.0,88.5,0.0,0.0,130.927,58.45
25.0,UGR,F,27,MAR,SPC,0,0,2.0,700.0,0.0,1.0,9.159,360.191
32.0,SCH,F,20,UNM,WRK,0,0,1.0,50.0,50.0,0.0,0.0,50.0
32.0,SCH,F,28,DIV,SPC,0,0,11.0,702.77,0.0,0.0,0.0,124.242
27.0,SCH,F,21,UNM,SPC,0,0,2.0,13.77,0.0,0.0,0.0,13.77
30.0,GRD,F,39,UNM,SPC,0,2,9.0,850.0,0.0,0.0,0.0,217.54
10.0,SCH,F,23,CIV,SPC,0,0,1.0,133.9,0.0,0.0,3.928,133.9
19.0,UGR,M,24,UNM,SPC,0,0,3.0,59.36,0.0,0.0,0.0,37.26
15.0,SCH,F,32,MAR,WRK,0,0,1.0,10.88,0.0,0.0,7.771,10.88
22.0,SCH,M,60,MAR,SPC,0,2,3.0,178.0,30.0,0.0,3.628,119.334
25.0,SCH,M,31,UNM,BIS,0,0,4.0,32.17,0.0,1.0,13.486,11.13
20.0,GRD,M,34,UNM,WRK,0,0,8.0,50.53,0.0,0.0,0.0,18.705
30.0,SCH,M,27,UNM,WRK,0,0,4.0,130.27,23.0,0.0,0.0,53.783
16.0,SCH,F,46,MAR,SPC,0,2,12.0,239.0,72.0,0.0,2.685,71.806
45.0,UGR,F,26,MAR,SPC,1,1,18.0,192.5,90.0,0.0,2.122,29.907
45.0,GRD,F,38,MAR,UMN,0,0,9.0,558.35,90.0,0.0,0.0,204.232
20.0,GRD,F,61,WID,WRP,0,2,7.0,208.8,20.0,0.0,0.0,78.384
35.0,SCH,M,43,MAR,SPC,0,1,3.0,63.56,0.0,0.0,2.182,29.657
30.0,UGR,F,38,DIV,SPC,0,2,11.0,218.0,0.0,0.0,0.0,62.604
25.0,UGR,M,43,CIV,SPC,0,2,4.0,20.97,20.97,0.0,0.503,9.633
52.5,SCH,F,54,UNM,WOI,0,0,3.0,119.83,219.83,0.0,0.0,106.26
70.0,SCH,F,47,UNM,SPC,0,2,20.0,799.0,465.0,0.0,0.0,117.829
42.0,UGR,M,28,UNM,SPC,1,2,6.0,300.0,51.86,0.0,5.33,90.452
50.0,UGR,M,32,MAR,SPC,0,0,10.0,1120.0,50.0,0.0,0.0,171.888
35.0,UGR,M,34,MAR,WRK,0,2,6.0,900.0,115.0,0.0,6.227,197.553
40.0,UGR,F,39,DIV,SPC,0,0,11.0,58.96,0.0,0.0,1.274,16.836
25.0,SCH,F,42,MAR,SPC,0,0,12.0,139.5,0.0,0.0,2.817,44.173
15.0,SCH,F,65,WID,PNA,0,0,13.0,195.0,75.0,1.0,53.686,65.48
40.0,GRD,M,47,MAR,SPC,1,0,8.0,1137.84,0.0,0.0,0.0,175.429
50.0,GRD,F,37,DIV,SPC,0,1,14.0,1280.0,0.0,0.0,20.123,174.645
50.0,GRD,M,42,MAR,UMN,1,2,3.0,66.66,65.0,0.0,0.0,46.813
8.0,SCH,M,48,DIV,PNI,0,0,10.0,353.1,0.0,0.0,104.331,137.924
12.0,SCH,F,66,UNM,PNA,0,0,26.0,90.0,54.16,0.0,2.438,22.468
55.0,GRD,M,37,MAR,SPC,1,2,36.0,2684.0,30.0,0.0,25.987,121.311
28.0,GRD,F,27,MAR,UMN,0,1,1.0,500.0,0.0,0.0,0.0,499.998
30.0,UGR,M,26,MAR,SPC,1,0,3.0,475.46,28.0,0.0,0.0,173.527
35.0,SCH,M,35,MAR,WOI,1,0,20.0,30.0,28.0,0.0,30.248,6.487
50.0,SCH,F,33,MAR,BIU,0,2,19.0,400.0,20.88,0.0,26.109,88.775
29.854,GRD,M,30,MAR,SPC,0,1,5.0,57.85,0.0,0.0,0.0,39.525
20.0,GRD,F,55,DIV,SPC,0,2,21.0,117.25,40.0,0.0,2.384,35.892
45.0,SCH,F,48,MAR,WRK,0,0,14.0,411.84,10.0,0.0,5.644,145.545
50.0,SCH,M,28,UNM,SPC,0,0,2.0,5.0,5.0,0.0,0.946,3.0
30.0,GRD,F,60,MAR,DIR,0,2,8.0,199.0,0.0,0.0,0.0,47.939
11.0,SCH,F,42,MAR,SPC,0,0,8.0,59.97,59.97,1.0,24.219,16.333
37.0,GRD,F,30,MAR,BIS,1,1,3.0,43.0,76.0,0.0,0.0,36.597
45.0,SCH,M,34,UNM,WRK,0,0,2.0,155.0,0.0,0.0,1.621,81.83
16.0,SCH,F,45,MAR,NOR,0,0,4.0,17.33,0.0,0.0,11.537,7.67
40.0,SCH,M,61,MAR,WRK,0,0,3.0,105.0,154.65,1.0,0.0,59.02
23.0,GRD,F,51,UNM,SPC,0,0,15.0,265.96,0.0,0.0,1.08,67.954
12.0,UGR,F,33,MAR,WOI,0,1,1.0,7.5,0.0,0.0,3.306,7.5
25.0,UGR,F,30,UNM,SPC,0,0,10.0,21.88,5.38,0.0,21.875,10.86
35.0,GRD,F,24,MAR,SPC,0,0,1.0,170.0,0.0,0.0,0.0,169.999
45.0,GRD,F,30,MAR,UMN,0,2,3.0,1106.42,0.0,0.0,0.0,1106.42
30.0,SCH,F,30,MAR,SPC,0,1,1.0,13.0,13.0,0.0,0.0,13.0
20.0,GRD,F,33,MAR,SPC,0,1,5.0,150.0,0.0,0.0,47.727,55.354
170.0,UGR,F,47,MAR,SPC,0,0,2.0,5.0,0.0,0.0,0.184,5.0
150.0,GRD,M,35,MAR,SPC,1,2,9.0,1200.0,295.0,0.0,3.885,361.523
29.5,SCH,F,27,MAR,WRK,0,1,14.0,246.0,140.0,0.0,4.564,70.364
30.0,SCH,F,31,UNM,WRK,1,2,2.0,63.0,63.0,0.0,1.852,61.5
35.0,GRD,M,53,MAR,DIR,0,0,1.0,120.0,120.0,0.0,0.0,120.0
40.0,UGR,F,55,UNM,SPC,0,1,7.0,150.0,46.0,0.0,0.0,44.642
27.0,SCH,M,30,MAR,WRK,0,0,16.0,70.0,29.97,1.0,0.5,10.687
110.0,GRD,F,31,MAR,SPC,0,1,2.0,117.0,0.0,0.0,0.0,96.0
35.0,SCH,M,55,MAR,SPC,0,2,2.0,250.0,0.0,0.0,0.932,146.274
20.0,SCH,F,46,MAR,SPC,0,2,8.0,417.0,105.0,0.0,11.6,201.286
20.0,SCH,F,21,UNM,SPC,0,0,2.0,9.05,0.0,0.0,0.0,9.05
25.0,SCH,F,63,WID,ATP,1,2,16.0,150.0,80.0,0.0,3.571,41.909
40.0,SCH,F,53,DIV,SPC,0,1,12.0,449.29,250.0,0.0,16.181,174.108
15.0,SCH,F,31,MAR,SPC,0,1,7.0,70.0,10.0,0.0,1.839,23.883
40.0,GRD,M,44,DIV,UMN,0,0,6.0,70.0,50.0,1.0,10.034,52.0
12.0,SCH,F,62,UNM,PNA,0,0,9.0,103.0,0.0,0.0,5.963,38.481
30.0,GRD,M,23,UNM,SPC,0,0,2.0,270.0,0.0,0.0,6.941,145.105
36.0,SCH,M,50,DIV,SPC,1,1,16.0,388.0,270.8,2.0,8.874,110.476
22.0,UGR,M,28,MAR,SPC,0,0,7.0,123.0,72.0,0.0,2.353,53.946
40.0,GRD,F,34,CIV,UMN,0,2,3.0,300.0,0.0,0.0,6.679,121.857
30.0,SCH,F,36,WID,ATP,0,1,1.0,4.93,0.0,0.0,7.764,4.93
30.0,UGR,M,39,MAR,SPC,0,0,9.0,185.0,0.0,0.0,9.811,29.055
70.0,GRD,M,29,UNM,BIS,0,0,3.0,53.61,5.0,0.0,0.0,32.87
15.0,SCH,M,59,MAR,SPC,0,2,9.0,500.0,0.0,0.0,86.508,189.539
28.0,SCH,M,27,UNM,SPC,0,0,2.0,38.96,54.96,0.0,9.467,27.48
110.0,SCH,M,48,UNM,SPC,1,0,7.0,1067.5,0.0,0.0,2.653,578.955
11.0,SCH,F,29,MAR,ATP,0,1,3.0,67.0,0.0,0.0,0.0,39.107
28.0,GRD,M,29,MAR,SPC,0,0,1.0,5.58,0.0,0.0,0.0,5.58
40.0,SCH,F,45,CIV,ATP,0,2,8.0,80.0,82.85,0.0,32.28,28.526
0.0,SCH,F,34,MAR,NOR,0,0,2.0,3.61,0.0,0.0,0.482,3.61
60.0,GRD,M,26,UNM,SPC,0,0,1.0,482.57,0.0,0.0,0.0,482.569
50.0,GRD,M,31,MAR,DIR,0,1,3.0,1115.0,0.0,0.0,11.236,384.154
30.0,GRD,M,25,UNM,ATP,0,0,2.0,3.0,0.0,0.0,0.0,3.0
50.0,UGR,M,30,CIV,NOR,0,0,1.0,20.67,0.0,0.0,17.213,20.67
30.0,SCH,F,38,WID,BIS,0,1,4.0,230.0,49.0,0.0,0.272,72.882
50.0,SCH,M,24,MAR,BIS,0,0,6.0,1070.0,95.0,0.0,0.0,211.839
25.0,GRD,F,29,MAR,SPC,0,1,4.0,477.37,95.0,0.0,11.162,255.593
15.0,SCH,F,33,CIV,WRK,0,0,20.0,14.0,0.0,0.0,17.928,5.627
53.0,UGR,F,20,UNM,SPC,0,0,3.0,61.95,61.95,0.0,1.172,33.263
25.0,SCH,M,28,UNM,SPC,0,1,16.0,40.0,40.0,0.0,5.491,15.157
50.0,GRD,M,23,UNM,ATP,0,0,2.0,75.0,75.0,0.0,0.0,66.815
40.0,SCH,M,40,UNM,SPC,0,0,4.0,592.5,165.0,0.0,0.0,229.553
15.5,UGR,M,63,MAR,SPC,0,0,2.0,45.0,45.0,0.0,2.963,35.0
